Ski_Season,Date,Rolling_7_Day_Avg
2013/14,2014-01-16,10.142857142857142
2013/14,2014-01-17,7.857142857142857
2013/14,2014-01-18,7.714285714285714
2013/14,2014-01-19,5.0
2013/14,2014-01-20,2.7142857142857144
2013/14,2014-01-22,2.4285714285714284
2013/14,2014-01-30,2.7142857142857144
2013/14,2014-01-31,3.0
2013/14,2014-02-01,2.857142857142857
2013/14,2014-02-02,2.7142857142857144
2013/14,2014-02-04,2.857142857142857
2013/14,2014-02-05,3.142857142857143
2013/14,2014-02-06,3.2857142857142856
2013/14,2014-02-07,3.0
2013/14,2014-02-08,5.857142857142857
2013/14,2014-02-09,10.285714285714286
2013/14,2014-02-10,12.0
2013/14,2014-02-11,13.714285714285714
2013/14,2014-02-12,13.0
2013/14,2014-02-13,14.285714285714286
2013/14,2014-02-14,16.0
2013/14,2014-02-15,15.428571428571429
2013/14,2014-02-16,12.0
2013/14,2014-02-17,10.428571428571429
2013/14,2014-02-18,8.857142857142858
2013/14,2014-02-19,8.857142857142858
2013/14,2014-02-21,7.714285714285714
2013/14,2014-02-22,5.714285714285714
2013/14,2014-02-23,3.142857142857143
2013/14,2014-02-24,2.2857142857142856
2013/14,2014-02-25,2.142857142857143
2013/14,2014-02-26,1.8571428571428572
2013/14,2014-02-27,1.7142857142857142
2013/14,2014-02-28,3.0
2013/14,2014-03-01,5.285714285714286
2013/14,2014-03-02,5.285714285714286
2013/14,2014-03-04,5.0
2013/14,2014-03-07,5.0
2013/14,2014-03-08,5.571428571428571
2013/14,2014-03-11,5.571428571428571
2013/14,2014-03-12,4.714285714285714
2013/14,2014-03-15,2.4285714285714284
2013/14,2014-03-27,3.7142857142857144
2013/14,2014-03-28,4.428571428571429
2013/14,2014-03-29,5.142857142857143
2013/14,2014-03-31,4.714285714285714
2013/14,2014-04-01,5.428571428571429
2013/14,2014-04-02,5.0
2013/14,2014-04-04,5.0
2013/14,2014-04-06,3.7142857142857144
2013/14,2014-04-07,3.857142857142857
2013/14,2014-04-09,3.0
2013/14,2014-04-10,3.2857142857142856
2013/14,2014-04-11,3.5714285714285716
2013/14,2014-04-12,3.2857142857142856
2013/14,2014-04-26,3.2857142857142856
2013/14,2014-04-27,3.857142857142857
2013/14,2014-04-28,4.0
2013/14,2014-04-29,4.142857142857143
2013/14,2014-05-02,3.7142857142857144
2013/14,2014-05-18,2.7142857142857144
2013/14,2014-05-19,2.7142857142857144
2013/14,2014-05-27,2.7142857142857144
2014/15,2014-11-15,12.0
2014/15,2014-11-18,6.5
2014/15,2014-11-23,8.333333333333334
2014/15,2014-11-24,6.5
2014/15,2014-11-26,6.4
2014/15,2014-11-27,5.5
2014/15,2014-11-29,4.857142857142857
2014/15,2014-12-11,3.2857142857142856
2014/15,2014-12-12,3.2857142857142856
2014/15,2014-12-15,1.7142857142857142
2014/15,2014-12-16,1.7142857142857142
2014/15,2014-12-19,1.0
2014/15,2014-12-21,2.142857142857143
2014/15,2014-12-22,4.0
2014/15,2014-12-23,4.285714285714286
2014/15,2014-12-24,4.428571428571429
2014/15,2014-12-25,4.714285714285714
2014/15,2014-12-26,4.857142857142857
2014/15,2014-12-27,4.857142857142857
